Actions,Lowest range of co2 reduction,Highest range of co2 reduction
Have one fewer child,23700,117700
Live car free,1000,5300
Avoid taking one airplane flight,700,2800
Purchase green energy,100,2500
"Reduce effects of driving(e.g., buy more efficient car)",1190,1190
Eat a plant-based diet,300,1600
"Home heating/cooling efficiency(e.g., wall insulation)",180,180
"Conserve energy(e.g., wash clothes in cold water)",210,250
Reduce food waste,370,370
Eat less meat,230,230
Reuse shopping bags,5,5
Recycle,210,210
Eat local,0,360
Plant a trea,6,60
