Year,Disaster Type,Decade
1970,Flood,1970
1970,Storm,1970
1970,Flood,1970
1970,Storm,1970
1970,Storm,1970
1970,Flood,1970
1970,Storm,1970
1970,Drought,1970
1970,Flood,1970
1970,Flood,1970
1970,Drought,1970
1970,Storm,1970
1970,Landslide,1970
1970,Earthquake,1970
1970,Storm,1970
1970,Epidemic,1970
1970,Earthquake,1970
1970,Flood,1970
1970,Flood,1970
1970,Flood,1970
1970,Flood,1970
1970,Flood,1970
1970,Storm,1970
1970,Epidemic,1970
1970,Storm,1970
1970,Earthquake,1970
1970,Flood,1970
1970,Flood,1970
1970,Epidemic,1970
1970,Landslide,1970
1970,Landslide,1970
1970,Storm,1970
1970,Flood,1970
1970,Wildfire,1970
1970,Wildfire,1970
1970,Flood,1970
1970,Flood,1970
1970,Flood,1970
1970,Earthquake,1970
1971,Earthquake,1970
1971,Landslide,1970
1971,Drought,1970
1971,Flood,1970
1971,Storm,1970
1971,Flood,1970
1971,Storm,1970
1971,Flood,1970
1971,Flood,1970
1971,Storm,1970
1971,Storm,1970
1971,Drought,1970
1971,Landslide,1970
1971,Flood,1970
1971,Flood,1970
1971,Landslide,1970
1971,Flood,1970
1971,Extreme temperature,1970
1971,Storm,1970
1971,Drought,1970
1971,Flood,1970
1971,Storm,1970
1971,Wildfire,1970
1971,Wildfire,1970
1971,Storm,1970
1971,Storm,1970
1971,Storm,1970
1972,Flood,1970
1972,Extreme temperature,1970
1972,Storm,1970
1972,Storm,1970
1972,Flood,1970
1972,Flood,1970
1972,Landslide,1970
1972,Storm,1970
1972,Flood,1970
1972,Storm,1970
1972,Storm,1970
1972,Landslide,1970
1972,Wildfire,1970
1972,Wildfire,1970
1972,Wildfire,1970
1972,Flood,1970
1972,Flood,1970
1972,Drought,1970
1972,Flood,1970
1972,Drought,1970
1972,Storm,1970
1972,Storm,1970
1972,Drought,1970
1973,Drought,1970
1973,Storm,1970
1973,Flood,1970
1973,Storm,1970
1973,Storm,1970
1973,Flood,1970
1973,Storm,1970
1973,Flood,1970
1973,Flood,1970
1973,Flood,1970
1973,Flood,1970
1973,Landslide,1970
1973,Landslide,1970
1973,Earthquake,1970
1973,Drought,1970
1973,Flood,1970
1973,Landslide,1970
1973,Flood,1970
1973,Flood,1970
1973,Storm,1970
1973,Storm,1970
1973,Storm,1970
1973,Wildfire,1970
1973,Flood,1970
1973,Storm,1970
1973,Wildfire,1970
1973,Wildfire,1970
1973,Landslide,1970
1973,Storm,1970
1973,Extreme temperature,1970
1973,Extreme temperature,1970
1974,Storm,1970
1974,Storm,1970
1974,Storm,1970
1974,Drought,1970
1974,Flood,1970
1974,Storm,1970
1974,Storm,1970
1974,Drought,1970
1974,Flood,1970
1974,Storm,1970
1974,Storm,1970
1974,Flood,1970
1974,Landslide,1970
1974,Landslide,1970
1974,Epidemic,1970
1974,Flood,1970
1974,Flood,1970
1974,Flood,1970
1974,Flood,1970
1974,Earthquake,1970
1974,Landslide,1970
1974,Landslide,1970
1974,Landslide,1970
1974,Storm,1970
1974,Flood,1970
1974,Storm,1970
1974,Storm,1970
1974,Wildfire,1970
1974,Wildfire,1970
1974,Wildfire,1970
1974,Storm,1970
1974,Drought,1970
1974,Storm,1970
1974,Storm,1970
1974,Storm,1970
1975,Flood,1970
1975,Storm,1970
1975,Storm,1970
1975,Wildfire,1970
1975,Wildfire,1970
1975,Flood,1970
1975,Landslide,1970
1975,Extreme temperature,1970
1975,Extreme temperature,1970
1975,Epidemic,1970
1975,Flood,1970
1975,Storm,1970
1975,Storm,1970
1975,Landslide,1970
1975,Earthquake,1970
1975,Volcanic activity,1970
1975,Volcanic activity,1970
1975,Volcanic activity,1970
1975,Flood,1970
1975,Storm,1970
1975,Flood,1970
1975,Storm,1970
1975,Storm,1970
1975,Flood,1970
1975,Flood,1970
1975,Flood,1970
1975,Earthquake,1970
1975,Storm,1970
1975,Storm,1970
1976,Earthquake,1970
1976,Flood,1970
1976,Storm,1970
1976,Storm,1970
1976,Storm,1970
1976,Storm,1970
1976,Storm,1970
1976,Drought,1970
1976,Drought,1970
1976,Flood,1970
1976,Storm,1970
1976,Storm,1970
1976,Drought,1970
1976,Storm,1970
1976,Epidemic,1970
1976,Drought,1970
1976,Storm,1970
1976,Storm,1970
1976,Flood,1970
1976,Flood,1970
1976,Storm,1970
1976,Earthquake,1970
1976,Earthquake,1970
1976,Landslide,1970
1976,Flood,1970
1976,Volcanic activity,1970
1976,Wildfire,1970
1976,Earthquake,1970
1976,Storm,1970
1976,Storm,1970
1976,Earthquake,1970
1976,Earthquake,1970
1976,Volcanic activity,1970
1976,Landslide,1970
1976,Flood,1970
1976,Storm,1970
1976,Storm,1970
1976,Volcanic activity,1970
1976,Drought,1970
1976,Earthquake,1970
1976,Storm,1970
1976,Storm,1970
1976,Storm,1970
1976,Storm,1970
1976,Drought,1970
1976,Flood,1970
1976,Flood,1970
1976,Earthquake,1970
1976,Earthquake,1970
1976,Earthquake,1970
1976,Volcanic activity,1970
1976,Flood,1970
1976,Storm,1970
1976,Storm,1970
1976,Storm,1970
1976,Storm,1970
1976,Storm,1970
1976,Storm,1970
1976,Storm,1970
1977,Earthquake,1970
1977,Drought,1970
1977,Drought,1970
1977,Earthquake,1970
1977,Flood,1970
1977,Storm,1970
1977,Wildfire,1970
1977,Wildfire,1970
1977,Storm,1970
1977,Flood,1970
1977,Flood,1970
1977,Storm,1970
1977,Storm,1970
1977,Epidemic,1970
1977,Storm,1970
1977,Flood,1970
1977,Flood,1970
1977,Earthquake,1970
1977,Drought,1970
1977,Flood,1970
1977,Drought,1970
1977,Flood,1970
1977,Storm,1970
1977,Flood,1970
1977,Flood,1970
1977,Drought,1970
1977,Storm,1970
1977,Flood,1970
1977,Storm,1970
1977,Landslide,1970
1977,Volcanic activity,1970
1977,Flood,1970
1977,Flood,1970
1977,Epidemic,1970
1977,Volcanic activity,1970
1977,Flood,1970
1977,Flood,1970
1977,Flood,1970
1977,Epidemic,1970
1977,Flood,1970
1977,Storm,1970
1977,Storm,1970
1977,Drought,1970
1977,Flood,1970
1977,Earthquake,1970
1977,Storm,1970
1977,Epidemic,1970
1977,Epidemic,1970
1977,Flood,1970
1977,Flood,1970
1977,Flood,1970
1977,Flood,1970
1977,Storm,1970
1977,Storm,1970
1977,Epidemic,1970
1978,Flood,1970
1978,Flood,1970
1978,Storm,1970
1978,Epidemic,1970
1978,Wildfire,1970
1978,Flood,1970
1978,Epidemic,1970
1978,Storm,1970
1978,Storm,1970
1978,Epidemic,1970
1978,Flood,1970
1978,Flood,1970
1978,Flood,1970
1978,Storm,1970
1978,Flood,1970
1978,Flood,1970
1978,Flood,1970
1978,Flood,1970
1978,Storm,1970
1978,Flood,1970
1978,Earthquake,1970
1978,Epidemic,1970
1978,Epidemic,1970
1978,Flood,1970
1978,Flood,1970
1978,Storm,1970
1978,Storm,1970
1978,Storm,1970
1978,Extreme temperature,1970
1978,Epidemic,1970
1978,Epidemic,1970
1970,Earthquake,1970
1970,Earthquake,1970
1970,Flood,1970
1970,Storm,1970
1970,Flood,1970
1970,Earthquake,1970
1970,Landslide,1970
1970,Landslide,1970
1970,Flood,1970
1970,Storm,1970
1970,Storm,1970
1970,Flood,1970
1970,Flood,1970
1970,Storm,1970
1970,Flood,1970
1970,Flood,1970
1970,Storm,1970
1970,Flood,1970
1970,Epidemic,1970
1970,Landslide,1970
1970,Flood,1970
1970,Flood,1970
1970,Flood,1970
1970,Earthquake,1970
1970,Flood,1970
1970,Earthquake,1970
1970,Storm,1970
1970,Storm,1970
1970,Storm,1970
1970,Storm,1970
1970,Storm,1970
1970,Storm,1970
1970,Storm,1970
1970,Storm,1970
1970,Flood,1970
1970,Flood,1970
1970,Earthquake,1970
1970,Storm,1970
1970,Storm,1970
1970,Wildfire,1970
1971,Flood,1970
1971,Flood,1970
1971,Flood,1970
1971,Earthquake,1970
1971,Storm,1970
1971,Drought,1970
1971,Storm,1970
1971,Storm,1970
1971,Flood,1970
1971,Drought,1970
1971,Storm,1970
1971,Flood,1970
1971,Volcanic activity,1970
1971,Storm,1970
1971,Landslide,1970
1971,Flood,1970
1971,Storm,1970
1971,Storm,1970
1971,Storm,1970
1971,Storm,1970
1971,Landslide,1970
1971,Flood,1970
1971,Volcanic activity,1970
1971,Epidemic,1970
1971,Drought,1970
1971,Earthquake,1970
1971,Earthquake,1970
1971,Earthquake,1970
1972,Storm,1970
1972,Storm,1970
1972,Earthquake,1970
1972,Earthquake,1970
1972,Landslide,1970
1972,Storm,1970
1972,Flood,1970
1972,Storm,1970
1972,Flood,1970
1972,Flood,1970
1972,Storm,1970
1972,Flood,1970
1972,Storm,1970
1972,Storm,1970
1972,Earthquake,1970
1972,Storm,1970
1972,Landslide,1970
1972,Drought,1970
1972,Earthquake,1970
1972,Flood,1970
1972,Earthquake,1970
1972,Storm,1970
1972,Storm,1970
1972,Storm,1970
1972,Flood,1970
1972,Storm,1970
1972,Storm,1970
1972,Storm,1970
1972,Landslide,1970
1972,Storm,1970
1972,Storm,1970
1972,Extreme temperature,1970
1973,Drought,1970
1973,Volcanic activity,1970
1973,Storm,1970
1973,Storm,1970
1973,Storm,1970
1973,Storm,1970
1973,Storm,1970
1973,Earthquake,1970
1973,Earthquake,1970
1973,Flood,1970
1973,Flood,1970
1973,Flood,1970
1973,Flood,1970
1973,Landslide,1970
1973,Earthquake,1970
1973,Storm,1970
1973,Storm,1970
1973,Storm,1970
1973,Flood,1970
1973,Storm,1970
1973,Storm,1970
1973,Flood,1970
1973,Flood,1970
1973,Extreme temperature,1970
1974,Earthquake,1970
1974,Earthquake,1970
1974,Earthquake,1970
1974,Flood,1970
1974,Flood,1970
1974,Landslide,1970
1974,Landslide,1970
1974,Storm,1970
1974,Storm,1970
1974,Storm,1970
1974,Landslide,1970
1974,Epidemic,1970
1974,Storm,1970
1974,Flood,1970
1974,Flood,1970
1974,Landslide,1970
1974,Storm,1970
1974,Storm,1970
1974,Storm,1970
1974,Storm,1970
1974,Storm,1970
1974,Storm,1970
1974,Storm,1970
1974,Flood,1970
1974,Flood,1970
1974,Flood,1970
