 Year,Aviation,Shipping,Medium- and heavy trucks,Light-commercial vehicles,Buses and minibuses,Passenger cars,Two/three-wheelers,Rail
2000,0.497722796,0.484836305,1.100042491,0.367326721,0.352395861,2.214765611,0.107460835,0.125358408
2001,0.52658841,0.538949585,1.132577962,0.371138111,0.36149378,2.26109812,0.116338323,0.132171487
2002,0.555454025,0.593062866,1.165113434,0.374949501,0.3705917,2.307430629,0.125215812,0.138984566
2003,0.584319639,0.647176147,1.197648905,0.378760891,0.37968962,2.353763138,0.1340933,0.145797645
2004,0.613185253,0.701289428,1.230184376,0.382572281,0.38878754,2.400095648,0.142970789,0.152610724
2005,0.642050868,0.755402708,1.262719848,0.386383671,0.397885459,2.446428157,0.151848277,0.159423803
2006,0.666793571,0.751242259,1.286165705,0.3822308,0.407484743,2.486413122,0.158028153,0.161501165
2007,0.691536275,0.74708181,1.309611562,0.378077928,0.417084027,2.526398087,0.164208029,0.163578528
2008,0.716278978,0.74292136,1.333057419,0.373925057,0.42668331,2.566383053,0.170387904,0.165655891
2009,0.741021682,0.738760911,1.356503276,0.369772185,0.436282594,2.606368018,0.17656778,0.167733254
2010,0.765764385,0.734600461,1.379949133,0.365619314,0.445881877,2.646352983,0.182747655,0.169810616
2011,0.79075798,0.750473557,1.425187143,0.361960193,0.454688716,2.713474604,0.183543784,0.167734646
2012,0.815751575,0.766346653,1.470425152,0.358301071,0.463495554,2.780596224,0.184339913,0.165658675
2013,0.840745169,0.782219749,1.515663162,0.35464195,0.472302393,2.847717845,0.185136042,0.163582705
2014,0.865738764,0.798092844,1.560901172,0.350982829,0.481109231,2.914839465,0.185932171,0.161506734
2015,0.890732358,0.81396594,1.606139182,0.347323708,0.48991607,2.981961086,0.1867283,0.159430763
2016,0.905997354,0.827772057,1.650339576,0.361308606,0.501245032,3.029929557,0.193890294,0.166834154
2017,0.92126235,0.841578175,1.694539969,0.375293505,0.512573994,3.077898027,0.201052288,0.174237544
2018,0.936527346,0.855384292,1.738740363,0.389278404,0.523902956,3.125866498,0.208214282,0.181640934
2019,0.951792342,0.869190409,1.782940756,0.403263303,0.535231918,3.173834969,0.215376276,0.189044324
2020,0.625185317,0.804454871,1.631619213,0.365462613,0.512740551,2.957619636,0.219556594,0.180052779
2021,0.69329598,0.816105543,1.690117757,0.351773381,0.495946578,2.925281164,0.214408193,0.171414257
2022,0.761406642,0.827756215,1.748616302,0.338084149,0.479152605,2.892942692,0.209259792,0.162775736
2023,0.829517304,0.839406887,1.807114846,0.324394917,0.462358632,2.860604219,0.204111391,0.154137214
2024,0.897627967,0.851057559,1.865613391,0.310705685,0.445564659,2.828265747,0.198962991,0.145498693
2025,0.965738629,0.862708231,1.924111935,0.297016453,0.428770686,2.795927274,0.19381459,0.136860171
2026,0.964602451,0.85119899,1.926902128,0.288619543,0.428428689,2.733139922,0.183830407,0.13030736
2027,0.963466273,0.839689748,1.929692321,0.280222632,0.428086693,2.67035257,0.173846225,0.12375455
2028,0.962330095,0.828180506,1.932482514,0.271825722,0.427744696,2.607565218,0.163862043,0.117201739
2029,0.961193917,0.816671264,1.935272707,0.263428812,0.427402699,2.544777866,0.15387786,0.110648928
2030,0.960057738,0.805162022,1.938062899,0.255031902,0.427060702,2.481990515,0.143893678,0.104096117
2031,0.942738429,0.785145896,1.920788828,0.243441674,0.424010088,2.355845798,0.129309348,0.101743445
2032,0.92541912,0.765129771,1.903514757,0.231851446,0.420959474,2.229701082,0.114725018,0.099390774
2033,0.908099811,0.745113645,1.886240685,0.220261218,0.417908861,2.103556365,0.100140689,0.097038102
2034,0.890780502,0.72509752,1.868966614,0.20867099,0.414858247,1.977411649,0.085556359,0.09468543
2035,0.873461193,0.705081394,1.851692543,0.197080762,0.411807633,1.851266932,0.070972029,0.092332759
2036,0.860337147,0.684999129,1.819534412,0.183774273,0.40209814,1.73362283,0.060742594,0.090987122
2037,0.8472131,0.664916863,1.787376281,0.170467783,0.392388646,1.615978727,0.050513159,0.089641486
2038,0.834089054,0.644834598,1.75521815,0.157161294,0.382679152,1.498334625,0.040283724,0.08829585
